#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cytb_beast" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cytb_beast" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cytb_beast">
#                <taxonset id="TaxonSet.cytb_beast" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cytb_beast" name="distribution" x="@birthRate.t:cytb_beast">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:cytb_beast" name="distribution">
#            <parameter id="kappa.s:cytb_beast" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cytb_beast" name="distribution">
#            <parameter id="ucldMean.c:cytb_beast" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:cytb_beast" name="distribution">
#            <parameter id="ucldStdev.c:cytb_beast" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="cats1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cytb_beast">
#            <taxonset id="cats1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="EF689045_Felis_silvestris" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="EF689048_Lynx_pardinus" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.3" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.12" name="M">12.0</parameter>
#                <parameter estimate="false" id="RealParameter.13" lower="0.0" name="S" upper="5.0">1.2</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cytb_beast" id="treeLikelihood.cytb_beast" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cytb_beast">
#            <siteModel id="SiteModel.s:cytb_beast" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:cytb_beast" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cytb_beast" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cytb_beast" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cytb_beast" kappa="@kappa.s:cytb_beast" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cytb_beast" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cytb_beast" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cytb_beast" id="RelaxedClock.c:cytb_beast" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cytb_beast">
#                <LogNormal S="@ucldStdev.c:cytb_beast" id="LogNormalDistributionModel.c:cytb_beast" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="80" id="rateCategories.c:cytb_beast" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	mutationRate	YuleModel	birthRate	ucldMean	monophyletic(cats1)	logP(mrca(cats1))	mrcatime(cats1)	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-13687.410400898836	-13669.655881917486	-17.754518981349225	-13669.655881917486	3.2196884623433975	2.0	0.1	0.9742995668822484	0.010874632727900272	0.1049885300091244	1.0	-14.547436700433678	1.0	1.0	1	-2.1610863920620633	1.1248143116189837	0.25	0.25	0.25	0.25
1000	-6357.129650250037	-6384.563302472386	27.433652222348115	-6384.563302472386	0.5349176655110998	2.0	0.7944902390830624	0.21264550975877727	0.0764430890511863	0.9283752757848914	1.0	33.71225163255939	3.867026565478476	0.2996368964997117	0	-2.4598971468771023	0.5349176655110998	0.25	0.25004564154598935	0.24995435845401065	0.25
2000	-5038.392846037953	-5063.349801938939	24.956955900986166	-5063.349801938939	0.5782540446957902	2.0	0.7321461218713102	0.15721173623059606	0.025082081819899297	0.8935041396032323	1.0	32.690135043702455	6.328605746917286	0.18203807037675723	1	-4.11534826746843	0.12789694208992783	0.25	0.25004564154598935	0.24995435845401065	0.25
3000	-4179.867293903003	-4210.737384990759	30.87009108775638	-4210.737384990759	0.47243195559858875	2.3275740696795095	0.8777681802553021	0.1468460913274305	0.03391591242921379	1.0719119798971306	1.0	39.44166831419533	7.828556180720628	0.1635247924244123	1	-4.359665464621919	0.11080924230037513	0.24035078242083885	0.25004564154598935	0.24995435845401065	0.25964921757916115
4000	-3578.5936662417666	-3629.4044470869435	50.81078084517695	-3629.4044470869435	0.315649628878246	2.3275740696795095	0.7742750211960743	0.20854829418471516	0.045168964728211185	0.9676866606562866	1.0	60.018491763706294	14.389221690497104	0.2117604884543674	1	-5.324554260629668	0.06716447369276866	0.24035078242083885	0.25004564154598935	0.24995435845401065	0.25964921757916115
5000	-3105.1875518059696	-3168.2093480780513	63.02179627208174	-3168.2093480780513	0.2219095009674446	3.213557874936044	0.5771200682363045	0.20916458217064077	0.017264695420003185	0.5937538813896147	1.0	71.74343651344856	16.135840773440563	0.21822072723922267	0	-5.166220120086301	0.07249129532253498	0.24035078242083885	0.25004564154598935	0.24995435845401065	0.25964921757916115
6000	-2864.1355062030216	-2959.0259136466193	94.89040744359755	-2959.0259136466193	0.12240577811713219	3.213557874936044	0.6346844735640382	0.44383762732988236	0.05913780697807153	0.6521720892460352	1.0	104.66072757376152	38.29022467858549	0.3674454463217517	0	-6.020394640668472	0.049025282924022556	0.24035078242083885	0.25004564154598935	0.24995435845401065	0.25964921757916115
7000	-2713.008971567782	-2820.4503683044636	107.44139673668195	-2820.4503683044636	0.0827461921479964	3.213557874936044	0.7991689376452463	0.6325861917196562	0.1429736355603567	0.8643633522773242	1.0	118.64241491675814	41.693765104580216	0.45286908520196245	0	-6.914295748599545	0.034020458227218074	0.24035078242083885	0.25004564154598935	0.24995435845401065	0.25964921757916115
8000	-2729.6363852221375	-2805.453392056028	75.81700683389063	-2805.453392056028	0.22015057031537935	3.213557874936044	0.6596345320578599	0.25764123832010194	0.023539634343076543	0.6997766904925239	1.0	85.49895406956092	20.223738265736273	0.20466242276667285	0	-5.848938270156458	0.05283039213587215	0.24035078242083885	0.24734397495864474	0.25265602504135526	0.25964921757916115
9000	-2686.8940223866994	-2769.1005502883786	82.20652790167907	-2769.1005502883786	0.1873220030489247	6.71875176473074	0.5850807369324197	0.2780488486274099	0.02429203952051377	0.6950897602716642	1.0	92.74681262360538	28.328628113560335	0.2135844565547383	0	-5.967122283020218	0.05016818796566892	0.23395545556875322	0.2550807092103663	0.25265602504135526	0.25830781017952525
10000	-2692.959302460238	-2763.1310790454913	70.17177658525335	-2763.1310790454913	0.3049516207048521	12.09533813895474	0.5738793062632476	0.21446822712321137	0.016054003406614767	0.6764014526340303	1.0	81.18324017718092	23.505197058562004	0.18368636293855392	0	-5.437521783026665	0.06367848890784147	0.23395545556875322	0.26339468656370046	0.2347000430648058	0.26794981480274055
11000	-2677.756686712388	-2760.071067011967	82.31438029957926	-2760.071067011967	0.18761766994278714	12.09533813895474	0.7592258269665778	0.2975828912440594	0.05617476091589857	0.9033944323411754	1.0	94.80902380207199	30.543224666365276	0.24995836677508318	0	-6.306517503362096	0.04343157803104373	0.23395545556875322	0.26339468656370046	0.2347000430648058	0.26794981480274055
